Date,Data storage capacity,Data storage capacity added per day,Cumulative renewable energy purchases,Energy intensity lower bound,Energy intensity estimate,Energy intensity upper bound,Energy consumption rate lower bound,Energy consumption rate estimate,Energy consumption rate upper bound,Energy used to seal data lower bound,Energy used to seal data estimate,Energy used to seal data upper bound,Cumulative energy use lower bound,Cumulative energy use estimate,Cumulative energy use upper bound,Energy used to store data lower bound,Energy used to store data estimate,Energy used to store data upper bound
2020-08-24T00:00:00.000Z,498448,2053024,15734658.47,1404.098113,10618.24561,21402.98254,651.8046336,4929.158175,9935.604259,551.8939117,3137.985593,5143.64633,15643.17893,118299.9113,238454.2728,0.4828964224,1.605600698,4.33515179
2020-08-25T00:00:00.000Z,9237744,13984256,16020743.17,516.8322194,3906.016457,7877.754829,4446.472725,33604.70765,67774.84194,3759.247698,21374.51577,35036.15498,122357.6233,924813.6787,1865048.917,8.949526387,29.75662097,80.34343089
2020-08-26T00:00:00.000Z,22553828,13212864,16306827.87,200.7629758,1514.930303,3059.685608,4217.004054,31820.94311,64268.35707,3551.8821,20195.46624,33103.50947,223564.8694,1688517.054,3407488.01,21.85014857,72.65039075,196.1574083
2020-08-27T00:00:00.000Z,36361328,14277536,16592912.57,134.9661488,1017.17266,2056.697582,4570.510617,34445.66272,69648.26526,3838.087228,21822.78545,35770.93869,333256.2043,2515213.759,5079044.78,35.22685457,117.1271098,316.245378
2020-08-28T00:00:00.000Z,51427203,16174560,16878997.27,108.3505579,815.8238348,1650.977121,5189.484114,39074.13964,79074.06944,4348.045219,24722.32972,40523.74262,457802.7809,3452994.017,6976820.64,49.82267427,165.6573063,447.2778127
2020-08-29T00:00:00.000Z,66588868,13150592,17165081.97,68.49217151,514.292326,1043.387269,4247.591055,31894.20682,64706.40856,3535.142141,20100.28535,32947.4932,559744.119,4218455.718,8529772.975,64.51129532,214.4960616,579.1433617
2020-08-30T00:00:00.000Z,79698897,13833952,17451166.67,60.34789042,452.6802643,919.238176,4479.345216,33600.36552,68230.80472,3718.842977,21144.78061,34659.58334,667247.5129,5024865.266,10167310.74,77.21229141,256.726087,693.1652169
2020-08-31T00:00:00.000Z,93902134,14401344,17737251.37,53.46361715,400.6002507,814.2962817,4675.563184,35033.76471,71212.79702,3871.369294,22012.02226,36081.12726,779460.1015,5865676.426,11876416.26,90.97238742,302.477554,816.69503
2020-09-01T00:00:00.000Z,108235381,13977696,18023369.4,45.21301095,338.1838321,688.5263987,4557.564357,34089.6248,69404.87502,3757.484239,21364.48901,35019.71956,888840.7455,6683828.205,13542131.7,104.8584371,348.6478093,941.3555792
2020-09-02T00:00:00.000Z,122057055,13924832,18309487.43,40.08459755,299.3870224,610.3503305,4556.596211,34032.6673,69381.26297,3743.273338,21283.68797,34887.27409,998198.1574,7500613,15207280.46,118.2488749,393.1701856,1061.566824
2020-09-03T00:00:00.000Z,135607368,14234944,18595605.46,36.98076777,275.9063309,563.0364364,4670.456596,34845.3702,71108.23805,3826.637646,21757.68486,35664.2287,1110288.199,8336902.683,16913876.58,131.3764181,436.8184538,1179.417962
2020-09-04T00:00:00.000Z,150591341,14609408,18881723.5,34.27022585,255.4008898,521.71771,4806.368861,35819.74888,73170.44733,3927.301059,22330.04185,36602.4108,1225640.11,9196577.475,18669965.68,145.8928912,485.0848276,1309.73807
2020-09-05T00:00:00.000Z,165302294,15378912,19167841.53,32.91514562,245.1496122,501.0612542,5067.278704,37740.72348,77138.25885,4134.159124,23506.20562,38530.32612,1347253.808,10102355.7,20521282.18,160.1448624,532.4717494,1437.683642
2020-09-06T00:00:00.000Z,181284907,16179360,19453959.56,31.62535384,235.3922463,481.4000369,5339.45796,39742.38547,81277.04349,4349.335555,24729.66638,40535.76854,1475399.757,11056173.86,22471929.41,175.6288179,583.9549424,1576.689222
2020-09-07T00:00:00.000Z,197461582,15990240,19740077.6,28.80885382,214.0852247,438.4661156,5297.960575,39370.36465,80634.10673,4298.496317,24440.60213,40061.9473,1602549.78,12001063.51,24407146.19,191.3007806,636.0632479,1717.382617
2020-09-08T00:00:00.000Z,212556411,14180928,20026195.63,23.95091504,177.3345746,364.4130851,4741.289225,35104.90128,72138.6983,3812.117065,21675.12302,35528.89701,1716339.808,12843581.93,26138473.36,205.924651,684.6867111,1848.666873
